trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
157,False,"{'a': 0.5, 'e': 0.45522245551230495}",20,0,-46.74478470147875,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
158,False,"{'a': 0.5, 'e': 0.4529463432347434}",25,15,13.759616508800033,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.4506816115185697}",20,15,7.760051812193915,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.4484282034609769}",25,9,-4.123714692590869,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.446186062443672}",20,15,8.809816388455861,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4439551321314536}",25,0,-109.86437790291203,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.4417353564707963}",30,13,-80.59769963448711,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 1}",1
164,False,"{'a': 0.5, 'e': 0.43952667968844233}",25,8,-7.010989344176607,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.43732904629000013}",20,0,-34.79742115062791,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.4351424010585501}",20,0,-18.261436218653675,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.43296668905325736}",20,7,-23.31809932527742,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.43080185560799106}",25,11,-24.249258633905544,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.4286478463299511}",30,0,-81.43119455991543,"{0: 24, 1: 3, 2: 0, 3: 1, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.42650460709830135}",25,18,-9.80379385382997,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.42437208406280985}",20,13,6.7128555803717695,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.4222502236424958}",20,6,-19.20381736009498,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.42013897252428334}",25,9,-30.024110719897127,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.5, 'e': 0.4180382776616619}",25,4,-22.6672954710236,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.5, 'e': 0.4159480862733536}",20,0,-11.800589266731599,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
176,False,"{'a': 0.5, 'e': 0.41386834584198684}",25,14,-19.47436270160425,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
177,False,"{'a': 0.5, 'e': 0.4117990041127769}",20,1,-21.270730683539306,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
178,False,"{'a': 0.5, 'e': 0.40974000909221303}",20,10,2.5234768222220616,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.40769130904675194}",25,15,0.3760799821334211,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.40565285250151817}",20,0,-140.5772288385411,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
181,False,"{'a': 0.5, 'e': 0.4036245882390106}",25,6,-41.86236721268609,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
182,False,"{'a': 0.5, 'e': 0.4016064652978155}",20,6,26.263480494059994,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.3995984329713264}",20,0,12.55539872115382,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
184,False,"{'a': 0.5, 'e': 0.3976004408064698}",20,10,9.676758896499125,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.39561243860243744}",25,10,-27.333535093437888,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
186,False,"{'a': 0.5, 'e': 0.3936343764094253}",20,0,-103.61695702872777,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
187,False,"{'a': 0.5, 'e': 0.39166620452737816}",30,12,-14.47822661583444,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.3897078735047413}",25,5,-4.253533474702927,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.3877593341372176}",30,0,-35.50667837387567,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
190,False,"{'a': 0.5, 'e': 0.3858205374665315}",20,4,-14.884234139469735,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.38389143477919885}",30,18,21.399195772753252,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.3819719776053028}",25,5,20.846079952557513,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.3800621177172763}",25,9,17.3549264180278,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.37816180712868996}",20,9,-39.62595646767432,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.37627099809304654}",20,12,-2.134074924530291,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.3743896431025813}",20,9,7.302762805257811,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.37251769488706843}",20,8,0.0984939478409328,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.3706551064126331}",20,0,10.091484976186976,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
199,False,"{'a': 0.5, 'e': 0.36880183088056995}",35,21,5.184224881714582,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.3669578217261671}",25,0,29.194222525212965,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
201,False,"{'a': 0.5, 'e': 0.36512303261753626}",20,8,12.631479164112127,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
202,False,"{'a': 0.5, 'e': 0.3632974174544486}",20,3,12.99912954433154,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.3614809303671764}",20,3,-37.29094775924536,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.3596735257153405}",20,15,8.996250600431953,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.3578751580867638}",20,0,18.366479474432474,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.5, 'e': 0.35608578229633}",20,7,-1.722224200371388,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
207,False,"{'a': 0.5, 'e': 0.3543053533848483}",20,11,-40.0362581796961,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 1}",1
